Index,Q1 (Da),Q3 (Da),Rt (min),Molecular Weight (Da),Ionization model,KEGG ID,Compound name,Class,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,DPA10,DPA20,IMG,MG,Br,Br3,Br7,Br10,Br15
pmf0352,279.1705,86.0964,3.21,278.1705,[M+H]+,-,4beta-Hydroxy-11-O-(2'-pyrolylcarboxy)epilupinine,Alkaloids,-0.108617267,-1.474521449,2.555913899,-0.691096173,-0.9814504,1.298892551,0.711987514,1.174960869,-1.482488486,1.096175728,-0.03602871,-1.004466284,0.02859281,0.608416037,-0.32815339,0.256095969,-0.532640665,-0.56273836,-0.799093782,0.27025959
pmf0414,414.3,396.2,4.25,413.3,[M+H]+,-,Tomatidenol,Alkaloids,0.802956794,0.67328729,1.057356013,0.190422755,0.534973152,1.462418845,0.415183229,-0.257863246,0.390484276,1.982331811,0.90051766,0.201537284,-0.522142046,-0.530786679,-0.769131578,-0.7308482,-1.24335148,-1.510347164,-1.500714572,-1.546284141
pmf0460,563,490,3.96,562,[M+H]+,-,Tomatidine-O-rhamnoside,Alkaloids,-0.565221914,-0.589111292,-0.579105676,-0.478180809,-0.528906956,-0.592772262,-0.572109501,0.030166545,-0.334224036,-0.580238094,-0.583107922,-0.347409732,-0.288461915,1.363938455,3.54035389,1.398066139,0.44093975,-0.355166024,0.005501538,-0.384950183
pmf0467,595,255.1,3.7,594,[M+H]+,-,Tomatidine derivative,Alkaloids,2.802550239,0.106424285,-0.52135014,0.875172617,2.395047541,-0.147255321,-0.6182697,0.059065864,1.146841082,-0.288229228,-0.673447768,-0.388819983,-0.519147423,-0.410112917,-0.386984386,-0.620472418,-0.669299317,-0.730498146,-0.713794206,-0.697420675
pmf0487,872.3,416.3,4.33,871.3,[M+H]+,-,β2-Tomatidine,Alkaloids,0.033494872,-0.708693648,0.34675626,1.098583591,-0.356877012,-1.253286523,0.221451704,0.375672696,-0.390612854,-1.402688108,0.766044579,1.426303198,1.647995872,1.445580822,1.002195472,0.240729328,-0.925566917,-1.802698804,-0.81472058,-0.949663947
pmf0496,1034.6,416.2,4.34,1033.6,[M+H]+,-,Filotomatine,Alkaloids,-0.016286414,-0.720232316,0.008241318,1.232175134,-0.268922051,-0.955207987,0.596906881,1.435755308,-0.197791629,-1.095997167,0.672942849,1.651599348,1.423491442,0.717092767,0.435023851,0.354082336,-0.823494067,-1.461215094,-1.438159026,-1.550005483
pmf0500,1092.658,1032.5,3.96,1091.658,[M+H]+,-,Lycoperoside B,Alkaloids,-0.56242163,-0.883584196,-0.919072175,-0.51815262,-0.747441832,-0.842104741,-0.908180786,0.803853412,-0.52057832,-0.851261755,-0.915816947,-0.497534178,-0.361695026,-0.089410297,0.251400432,0.745636633,2.071887639,1.431503065,2.093112506,1.219860815
pmf0504,1094.64,1034.6,4.54,1093.64,[M+H]+,-,(Lycoperoside H) FA or (Hydroxy-α-Tomatine) FA I,Alkaloids,0.273873036,-0.686504189,-0.766776683,2.443399899,0.048885065,-0.622864734,-0.754338062,3.018726282,0.387974078,-0.624793203,-0.72041309,0.378331737,-0.157943163,-0.12146297,0.105132058,0.225661328,-0.425357437,-0.66620706,-0.632507076,-0.702815817
pmf0493,1032.7,414.1,4.26,1031.7,[M+H]+,-,Dehydrofilotomatine,Alkaloids,1.065995994,0.378126568,0.656832283,1.50599523,0.21208912,0.227506883,0.778988406,1.842814053,0.611764976,-0.338206421,0.867937038,0.502654653,-0.188772718,-0.624028028,-0.861224381,-0.849364564,-1.103164662,-1.586926626,-1.578150361,-1.520867442
pmf0232,86.08915,69.071,1.48,85.08915,[M+H]+,C01746,Piperidine,Alkaloids,-0.604746916,-0.81266198,2.077328084,1.13892441,-0.751079239,-0.881781276,1.517218391,2.581720058,-0.72585964,-0.896238557,0.596409786,-0.211790378,-0.193315556,-0.171321719,-0.346979157,-0.601521154,-0.586272094,-0.422344702,-0.383049048,-0.322639312
pmf0243,118,58,0.8,117,[M+H]+,C00719,Betaine,Alkaloids,-0.641720784,0.286398358,-0.188883137,1.997741799,-0.584786022,-0.45127813,-0.070062764,3.063824597,-0.89602939,-0.414806876,-0.613500946,0.949812112,0.986118338,-0.121221536,-0.037057104,-0.306053228,-0.81945626,-0.762191441,-0.63346937,-0.743378215
pmf0415,416.3,398.3,4.34,415.3,[M+H]+,C10826,Tomatidine,Alkaloids,0.715188248,0.322564746,1.426818346,0.420720622,0.858332234,0.551595122,0.927859312,-0.049609615,0.363463028,0.420720622,-0.196843429,0.788805155,0.306205433,0.416630793,0.26939698,-0.462682258,-0.875754901,-2.094932672,-1.782469802,-2.326007963
pmf0421,430.3,412.1,4.01,429.3,[M+H]+,-,Hydroxytomatidenol,Alkaloids,0.056071004,-1.003193649,-0.953031217,2.832355295,1.45167628,-0.889631929,-0.895726818,1.296194409,0.952890437,-0.955680628,-0.328280181,-0.769848695,-0.875327597,-0.014828729,0.292403448,0.919306353,-0.401667624,-0.522321556,-0.034730408,-0.156628195
pmf0422,432.10001,273.2,3.69,431.10001,[M+H]+,-,Hydroxytomatidine,Alkaloids,2.400958612,0.209577183,-0.55337008,1.298376761,2.69432414,-0.175735796,-0.602986263,0.193826014,0.85734402,-0.359040029,-0.628188134,-0.459847512,-0.541162924,-0.493515636,-0.464769752,-0.604955159,-0.682017755,-0.702297385,-0.689164848,-0.697355456
pmf0463,576.3,255.1,4.54,575.3,[M+H]+,-,Tomatidenol-O-hexoside,Alkaloids,1.000597658,-0.823584681,-1.149922481,1.467582454,0.853515833,-0.550564043,-1.104878672,1.324177674,1.145840961,-0.608109807,-1.121057673,0.906832994,0.495003883,0.860869924,1.140325392,0.423301493,-0.84362458,-1.154371707,-1.065350432,-1.19658419
pmf0464,578.3,255.1,4.35,577.3,[M+H]+,C10827,δ-Tomatine,Alkaloids,0.478268168,-0.248706717,0.621750053,0.344351742,0.192260943,-0.489756284,0.65044643,0.121476547,0.114780725,-0.541409763,0.660011889,1.100023004,1.23393943,1.272201266,1.013933873,0.229566234,-0.935506674,-1.892530849,-1.683525569,-2.241574448
