,Gene1,Gene2,Direction
0,Solyc01g005680.3,Solyc05g005150.1,+
1,Solyc01g007780.3,Solyc05g005150.1,+
2,Solyc01g073725.1,Solyc05g005150.1,+
3,Solyc01g080540.3,Solyc05g005150.1,+
4,Solyc01g087830.1,Solyc05g005150.1,+
5,Solyc01g090910.3,Solyc05g005150.1,+
6,Solyc01g092950.3,Solyc05g005150.1,+
7,Solyc01g100210.3,Solyc05g005150.1,+
8,Solyc01g103650.3,Solyc05g005150.1,+
9,Solyc01g106350.3,Solyc05g005150.1,+
10,Solyc02g031750.3,Solyc05g005150.1,+
11,Solyc02g067600.1,Solyc05g005150.1,+
12,Solyc02g067610.1,Solyc05g005150.1,+
13,Solyc02g069350.3,Solyc05g005150.1,+
14,Solyc02g069370.3,Solyc05g005150.1,+
15,Solyc02g079230.3,Solyc05g005150.1,+
16,Solyc02g079360.2,Solyc05g005150.1,+
17,Solyc02g079760.3,Solyc05g005150.1,+
18,Solyc02g083570.3,Solyc05g005150.1,+
19,Solyc02g086950.1,Solyc05g005150.1,+
20,Solyc02g093230.3,Solyc05g005150.1,+
21,Solyc02g093250.3,Solyc05g005150.1,+
22,Solyc03g034020.3,Solyc05g005150.1,+
23,Solyc03g077925.1,Solyc05g005150.1,+
24,Solyc03g093800.1,Solyc05g005150.1,+
25,Solyc03g113960.3,Solyc05g005150.1,+
26,Solyc03g115940.3,Solyc05g005150.1,+
27,Solyc03g118880.3,Solyc05g005150.1,+
28,Solyc04g007075.1,Solyc05g005150.1,+
29,Solyc04g009430.3,Solyc05g005150.1,-
30,Solyc04g009515.1,Solyc05g005150.1,+
31,Solyc04g016270.2,Solyc05g005150.1,+
32,Solyc04g049080.3,Solyc05g005150.1,+
33,Solyc04g076280.3,Solyc05g005150.1,+
34,Solyc04g077010.3,Solyc05g005150.1,+
35,Solyc04g077230.1,Solyc05g005150.1,+
36,Solyc04g078630.3,Solyc05g005150.1,+
37,Solyc04g078930.3,Solyc05g005150.1,+
38,Solyc04g079080.2,Solyc05g005150.1,+
39,Solyc04g080310.1,Solyc05g005150.1,+
40,Solyc05g005740.3,Solyc05g005150.1,+
41,Solyc05g007470.3,Solyc05g005150.1,+
42,Solyc05g008770.3,Solyc05g005150.1,+
43,Solyc05g008990.3,Solyc05g005150.1,+
44,Solyc05g009640.3,Solyc05g005150.1,+
45,Solyc05g013750.3,Solyc05g005150.1,+
46,Solyc05g014240.3,Solyc05g005150.1,+
47,Solyc05g052050.1,Solyc05g005150.1,+
48,Solyc05g053510.2,Solyc05g005150.1,+
49,Solyc05g056440.2,Solyc05g005150.1,+
50,Solyc06g010010.2,Solyc05g005150.1,+
51,Solyc06g075190.1,Solyc05g005150.1,+
52,Solyc06g076070.1,Solyc05g005150.1,+
53,Solyc06g083330.2,Solyc05g005150.1,+
54,Solyc07g006670.1,Solyc05g005150.1,+
55,Solyc07g055235.1,Solyc05g005150.1,+
56,Solyc08g062370.3,Solyc05g005150.1,+
57,Solyc08g075450.3,Solyc05g005150.1,+
58,Solyc08g075470.3,Solyc05g005150.1,+
59,Solyc08g076493.1,Solyc05g005150.1,+
60,Solyc08g076497.1,Solyc05g005150.1,+
61,Solyc08g080100.3,Solyc05g005150.1,+
62,Solyc08g081700.1,Solyc05g005150.1,+
63,Solyc09g010680.3,Solyc05g005150.1,+
64,Solyc09g011640.4,Solyc05g005150.1,+
65,Solyc09g018630.3,Solyc05g005150.1,+
66,Solyc09g064742.1,Solyc05g005150.1,+
67,Solyc10g050510.1,Solyc05g005150.1,+
68,Solyc10g076500.2,Solyc05g005150.1,+
69,Solyc10g078600.2,Solyc05g005150.1,+
70,Solyc10g085860.1,Solyc05g005150.1,+
71,Solyc11g069040.3,Solyc05g005150.1,+
72,Solyc11g071450.2,Solyc05g005150.1,+
73,Solyc12g010710.1,Solyc05g005150.1,+
74,Solyc12g013570.2,Solyc05g005150.1,+
75,Solyc12g049360.2,Solyc05g005150.1,+
76,Solyc12g056460.2,Solyc05g005150.1,+
77,Solyc12g088400.1,Solyc05g005150.1,+
78,Solyc12g088880.2,Solyc05g005150.1,+
79,Solyc12g094390.1,Solyc05g005150.1,+
80,Solyc12g098910.2,Solyc05g005150.1,+
81,Solyc01g005680.3,Solyc01g007780.3,+
82,Solyc01g005680.3,Solyc01g073725.1,+
83,Solyc01g005680.3,Solyc01g080540.3,+
84,Solyc01g005680.3,Solyc01g087830.1,+
85,Solyc01g005680.3,Solyc01g090910.3,+
86,Solyc01g005680.3,Solyc01g100210.3,+
87,Solyc01g005680.3,Solyc02g031750.3,+
88,Solyc01g005680.3,Solyc02g067610.1,+
89,Solyc01g005680.3,Solyc02g069370.3,+
90,Solyc01g005680.3,Solyc02g079360.2,+
91,Solyc01g005680.3,Solyc02g079760.3,+
92,Solyc01g005680.3,Solyc02g083570.3,+
93,Solyc01g005680.3,Solyc02g086950.1,+
94,Solyc01g005680.3,Solyc02g093250.3,+
95,Solyc01g005680.3,Solyc03g093800.1,+
96,Solyc01g005680.3,Solyc03g113960.3,+
97,Solyc01g005680.3,Solyc03g118880.3,+
98,Solyc01g005680.3,Solyc04g009515.1,+
99,Solyc01g005680.3,Solyc04g049080.3,+
100,Solyc01g005680.3,Solyc04g077010.3,+
101,Solyc01g005680.3,Solyc04g078630.3,+
102,Solyc01g005680.3,Solyc04g078930.3,+
103,Solyc01g005680.3,Solyc04g079080.2,+
104,Solyc01g005680.3,Solyc04g080310.1,+
105,Solyc01g005680.3,Solyc05g007470.3,+
106,Solyc01g005680.3,Solyc05g009640.3,+
107,Solyc01g005680.3,Solyc05g056440.2,+
108,Solyc01g005680.3,Solyc06g010010.2,+
109,Solyc01g005680.3,Solyc06g075190.1,+
110,Solyc01g005680.3,Solyc06g076070.1,+
111,Solyc01g005680.3,Solyc08g062370.3,+
112,Solyc01g005680.3,Solyc08g080100.3,+
113,Solyc01g005680.3,Solyc09g010680.3,+
114,Solyc01g005680.3,Solyc09g011640.4,+
115,Solyc01g005680.3,Solyc09g018630.3,+
116,Solyc01g005680.3,Solyc09g064742.1,+
117,Solyc01g005680.3,Solyc10g085860.1,+
118,Solyc01g005680.3,Solyc11g071450.2,+
119,Solyc01g005680.3,Solyc12g010710.1,+
120,Solyc01g005680.3,Solyc12g013570.2,+
121,Solyc01g005680.3,Solyc12g049360.2,+
122,Solyc01g005680.3,Solyc12g056460.2,+
123,Solyc01g005680.3,Solyc12g094390.1,+
124,Solyc01g005680.3,Solyc12g098910.2,+
125,Solyc01g007780.3,Solyc06g010010.2,+
126,Solyc01g007780.3,Solyc06g076070.1,+
127,Solyc01g007780.3,Solyc12g010710.1,+
128,Solyc01g073725.1,Solyc01g080540.3,+
129,Solyc01g073725.1,Solyc01g087830.1,+
130,Solyc01g073725.1,Solyc01g100210.3,+
131,Solyc01g073725.1,Solyc02g031750.3,+
132,Solyc01g073725.1,Solyc02g069370.3,+
133,Solyc01g073725.1,Solyc02g079760.3,+
134,Solyc01g073725.1,Solyc02g083570.3,+
135,Solyc01g073725.1,Solyc02g086950.1,+
136,Solyc01g073725.1,Solyc02g093250.3,+
137,Solyc01g073725.1,Solyc03g093800.1,+
138,Solyc01g073725.1,Solyc03g118880.3,+
139,Solyc01g073725.1,Solyc04g016270.2,+
140,Solyc01g073725.1,Solyc04g079080.2,+
141,Solyc01g073725.1,Solyc04g080310.1,+
142,Solyc01g073725.1,Solyc05g056440.2,+
143,Solyc01g073725.1,Solyc06g010010.2,+
144,Solyc01g073725.1,Solyc07g055235.1,+
145,Solyc01g073725.1,Solyc08g062370.3,+
146,Solyc01g073725.1,Solyc08g080100.3,+
147,Solyc01g073725.1,Solyc08g081700.1,+
148,Solyc01g073725.1,Solyc09g011640.4,+
149,Solyc01g073725.1,Solyc09g018630.3,+
150,Solyc01g073725.1,Solyc09g064742.1,+
151,Solyc01g073725.1,Solyc12g010710.1,+
152,Solyc01g073725.1,Solyc12g013570.2,+
153,Solyc01g073725.1,Solyc12g049360.2,+
154,Solyc01g073725.1,Solyc12g098910.2,+
155,Solyc01g080540.3,Solyc01g087830.1,+
156,Solyc01g080540.3,Solyc01g090910.3,+
157,Solyc01g080540.3,Solyc01g092950.3,+
158,Solyc01g080540.3,Solyc01g100210.3,+
159,Solyc01g080540.3,Solyc01g106350.3,+
160,Solyc01g080540.3,Solyc02g031750.3,+
161,Solyc01g080540.3,Solyc02g069350.3,+
162,Solyc01g080540.3,Solyc02g069370.3,+
163,Solyc01g080540.3,Solyc02g079230.3,+
164,Solyc01g080540.3,Solyc02g079760.3,+
165,Solyc01g080540.3,Solyc02g083570.3,+
166,Solyc01g080540.3,Solyc03g093800.1,+
167,Solyc01g080540.3,Solyc03g118880.3,+
168,Solyc01g080540.3,Solyc04g009515.1,+
169,Solyc01g080540.3,Solyc04g016270.2,+
170,Solyc01g080540.3,Solyc04g076280.3,+
171,Solyc01g080540.3,Solyc04g077010.3,+
172,Solyc01g080540.3,Solyc04g078930.3,+
173,Solyc01g080540.3,Solyc04g080310.1,+
174,Solyc01g080540.3,Solyc05g008770.3,+
175,Solyc01g080540.3,Solyc05g014240.3,+
176,Solyc01g080540.3,Solyc06g075190.1,+
177,Solyc01g080540.3,Solyc08g062370.3,+
178,Solyc01g080540.3,Solyc08g075450.3,+
179,Solyc01g080540.3,Solyc08g075470.3,+
180,Solyc01g080540.3,Solyc08g080100.3,+
181,Solyc01g080540.3,Solyc09g010680.3,+
182,Solyc01g080540.3,Solyc09g011640.4,+
183,Solyc01g080540.3,Solyc09g018630.3,+
184,Solyc01g080540.3,Solyc09g064742.1,+
185,Solyc01g080540.3,Solyc10g078600.2,+
186,Solyc01g080540.3,Solyc11g069040.3,+
187,Solyc01g080540.3,Solyc11g071450.2,+
