,Gene,Metabolite,Direction
5134,Solyc05g005150.1,pmf0500,-
33410,Solyc05g005150.1,pmf0503,-
38038,Solyc05g005150.1,pmf0253,-
45956,Solyc05g005150.1,pmb2855,-
52638,Solyc05g005150.1,pme0279,-
64094,Solyc05g005150.1,pme0004,-
67339,Solyc05g005150.1,pme2527,-
69169,Solyc05g005150.1,pmf0245,-
71478,Solyc05g005150.1,pmf0260,-
72960,Solyc05g005150.1,pmf0277,-
74320,Solyc05g005150.1,pmf0278,-
75618,Solyc05g005150.1,pmf0283,-
77098,Solyc05g005150.1,pmf0290,-
79852,Solyc05g005150.1,pmf0514,-
114999,Solyc05g005150.1,pmf0481,-
225365,Solyc05g005150.1,pmb2826,-
228479,Solyc05g005150.1,pme0274,-
229489,Solyc05g005150.1,pme0281,-
230813,Solyc05g005150.1,pme0282,-
233669,Solyc05g005150.1,pme0291,-
238110,Solyc05g005150.1,pme0486,+
246465,Solyc05g005150.1,pme2050,-
263573,Solyc05g005150.1,pmf0233,-
265406,Solyc05g005150.1,pmf0317,-
277268,Solyc05g005150.1,pmf0486,+
287785,Solyc05g005150.1,pmf0298,-
294969,Solyc05g005150.1,pmf0293,-
315715,Solyc05g005150.1,pmf0273,-
323367,Solyc05g005150.1,pmf0368,-
329820,Solyc05g005150.1,pmf0418,+
4645,Solyc01g080540.3,pmf0500,-
4664,Solyc01g090910.3,pmf0500,-
4668,Solyc01g092950.3,pmf0500,-
4731,Solyc01g106350.3,pmf0500,-
4803,Solyc02g069350.3,pmf0500,-
4953,Solyc03g077925.1,pmf0500,-
5047,Solyc04g007075.1,pmf0500,-
5103,Solyc04g076280.3,pmf0500,-
5134,Solyc05g005150.1,pmf0500,-
5137,Solyc05g005740.3,pmf0500,-
5149,Solyc05g008770.3,pmf0500,-
5174,Solyc05g014240.3,pmf0500,-
5313,Solyc06g075190.1,pmf0500,-
5499,Solyc08g075450.3,pmf0500,-
5500,Solyc08g075470.3,pmf0500,-
5503,Solyc08g076493.1,pmf0500,-
5676,Solyc10g076500.2,pmf0500,-
5682,Solyc10g078600.2,pmf0500,-
5796,Solyc11g069040.3,pmf0500,-
5805,Solyc11g071450.2,pmf0500,-
5864,Solyc12g056460.2,pmf0500,-
5876,Solyc12g088880.2,pmf0500,-
32907,Solyc01g080540.3,pmf0503,-
32926,Solyc01g090910.3,pmf0503,-
32931,Solyc01g092950.3,pmf0503,-
32995,Solyc01g106350.3,pmf0503,-
33065,Solyc02g069350.3,pmf0503,-
33220,Solyc03g077925.1,pmf0503,-
33279,Solyc03g115940.3,pmf0503,-
33317,Solyc04g007075.1,pmf0503,-
33376,Solyc04g076280.3,pmf0503,-
33382,Solyc04g077010.3,pmf0503,-
33410,Solyc05g005150.1,pmf0503,-
33412,Solyc05g005740.3,pmf0503,-
33425,Solyc05g008770.3,pmf0503,-
33449,Solyc05g014240.3,pmf0503,-
33592,Solyc06g075190.1,pmf0503,-
33781,Solyc08g075450.3,pmf0503,-
33782,Solyc08g075470.3,pmf0503,-
33785,Solyc08g076493.1,pmf0503,-
33957,Solyc10g076500.2,pmf0503,-
33964,Solyc10g078600.2,pmf0503,-
34081,Solyc11g069040.3,pmf0503,-
34090,Solyc11g071450.2,pmf0503,-
34151,Solyc12g056460.2,pmf0503,-
34164,Solyc12g088880.2,pmf0503,-
37474,Solyc01g005680.3,pmf0253,-
37518,Solyc01g073725.1,pmf0253,-
37529,Solyc01g080540.3,pmf0253,-
37548,Solyc01g090910.3,pmf0253,-
37554,Solyc01g092950.3,pmf0253,-
