,Gene1,Gene2,Direction
2,Solyc00g005000.3,Solyc00g063110.3,+
7,Solyc00g005000.3,Solyc01g005090.3,+
15,Solyc00g005000.3,Solyc01g008640.3,+
25,Solyc00g005000.3,Solyc01g010835.1,-
26,Solyc00g005000.3,Solyc01g014270.3,-
28,Solyc00g005000.3,Solyc01g028870.3,-
29,Solyc00g005000.3,Solyc01g057530.1,+
32,Solyc00g005000.3,Solyc01g073670.3,+
37,Solyc00g005000.3,Solyc01g073820.3,+
39,Solyc00g005000.3,Solyc01g080230.3,+
42,Solyc00g005000.3,Solyc01g080960.3,+
43,Solyc00g005000.3,Solyc01g081270.2,+
50,Solyc00g005000.3,Solyc01g090980.1,+
52,Solyc00g005000.3,Solyc01g091470.3,+
53,Solyc00g005000.3,Solyc01g095670.3,-
54,Solyc00g005000.3,Solyc01g095830.3,+
55,Solyc00g005000.3,Solyc01g095860.3,+
62,Solyc00g005000.3,Solyc01g097920.3,+
64,Solyc00g005000.3,Solyc01g099320.3,+
80,Solyc00g005000.3,Solyc01g105070.3,+
81,Solyc00g005000.3,Solyc01g105460.3,-
82,Solyc00g005000.3,Solyc01g105750.1,+
83,Solyc00g005000.3,Solyc01g105960.2,+
103,Solyc00g005000.3,Solyc02g032620.1,+
104,Solyc00g005000.3,Solyc02g038760.3,-
109,Solyc00g005000.3,Solyc02g067120.3,-
110,Solyc00g005000.3,Solyc02g067430.3,+
127,Solyc00g005000.3,Solyc02g072190.3,+
128,Solyc00g005000.3,Solyc02g075625.1,+
131,Solyc00g005000.3,Solyc02g077230.3,+
133,Solyc00g005000.3,Solyc02g077680.3,-
138,Solyc00g005000.3,Solyc02g079410.2,+
146,Solyc00g005000.3,Solyc02g082170.2,+
162,Solyc00g005000.3,Solyc02g090670.3,-
164,Solyc00g005000.3,Solyc02g091030.3,-
177,Solyc00g005000.3,Solyc03g005330.1,+
178,Solyc00g005000.3,Solyc03g005640.1,+
186,Solyc00g005000.3,Solyc03g007580.2,+
