Index,Q1 (Da),Q3 (Da),Rt (min),Molecular Weight (Da),Ionization model,KEGG ID,Compound name,Class,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15,Cluster
pmc1990,299.1,223.1,6.76,300.1,[M-H]-,-,"4'-Hydroxy-5,7-dimethoxyflavanone",Flavonoids,0.6431611652413106,3.0387092054148463,0.5403818763889807,-1.449319741136893,0.5878184712439022,0.2346793762128201,0.0950049580288842,1.0068417257957087,0.8487197429459704,-0.437339050898568,-0.6850634906964913,0.4718623504874276,-0.1263658179607491,-0.4347036845177388,-0.2528634042405397,-0.418891486232765,-0.0077743308234453,-1.188418469434825,-1.364988016950366,-1.101451378867469,7
pme0330,579.179,271.0,4.17,580.1792,[M-H]-,C09789,Naringenin 7-O-neohesperidoside (Naringin),Flavonoids,-0.6179162444350421,-0.6139227679541445,-0.6178650758371506,-0.6082593345056964,-0.6218740191896834,-0.6143414201187115,-0.6164463101683401,-0.5662894550078538,-0.6218740191896834,-0.6152136121282261,-0.6191305682968222,-0.6138297341397962,-0.5598933802714132,-0.2422991965401628,0.0188932372424766,0.4631297007552473,1.5539511739881764,2.197047415670276,1.993535946783536,1.9225976633430144,6
pme0371,433.121,271.0,4.24,434.1213,[M-H]-,C09099,Naringenin 7-O-glucoside (Prunin),Flavonoids,-0.5042121232680989,-0.4959884273664805,-0.4960087837296303,-0.4857084639758294,-0.5042121232680989,-0.496558405534675,-0.4981767364050845,-0.4511840720737615,-0.5042121232680989,-0.4944718783118201,-0.4999548647262198,-0.5025716752091272,-0.5027111162967034,-0.498746714573279,-0.4960596746375048,-0.4791537150415925,1.6840966405249482,2.52176098413939,1.9772282698821284,1.726845003139537,6
pme1201,273.084,167.0,5.55,274.084,[M-H]-,C00774,Phloretin,Flavonoids,-0.4907682382127398,-0.490096639660689,-0.4907682382127398,-0.4895582896056411,-0.4907682382127398,-0.4861198252040599,-0.4907682382127398,-0.4907682382127398,-0.4872291842594996,-0.4877594348961022,-0.4898170790885457,-0.4808173188380335,-0.4832863351060281,-0.4792235623052539,-0.4831556993246527,-0.0024552145976922,3.3107294726445207,1.3394355316901403,1.5915625897446102,1.0716321798706252,6
pme1580,287.063,135.0,4.99,288.063,[M-H]-,C05631,Eriodictyol,Flavonoids,-0.505870304193318,-0.5051914661965424,-0.5041803794084284,-0.5044398249456424,-0.505870304193318,-0.505151423155429,-0.5042729789410032,-0.5042904977714904,-0.505870304193318,-0.5044665203063847,-0.5043997819045289,-0.4890357675673211,-0.4991883469496211,-0.4965438377760885,-0.4959431921593872,-0.3708086886799285,2.14447825425951,1.9484341988083584,1.4512331049833092,2.361378060290572,6
pme1599,301.079,165.0,5.73,302.079,[M-H]-,-,7-O-Methyleriodictyol,Flavonoids,-0.4161491547788365,-0.4161491547788365,-0.4161491547788365,-0.3860227850654821,-0.4161491547788365,-0.4161491547788365,-0.4161491547788365,-0.4007704205910452,-0.4161491547788365,-0.4161491547788365,-0.4161491547788365,-0.4082853422739788,-0.412475218354621,-0.4161491547788365,-0.4161491547788365,-0.4161491547788365,-0.4161491547788365,1.989438951996514,3.015856177618267,2.0121976487952224,6
pme2957,271.07,151.0,5.5,272.069,[M-H]-,C06561,Naringenin chalcone,Flavonoids,-0.4895162146222951,-0.4898063307003275,-0.4896897129092939,-0.4893003985469548,-0.4898063307003275,-0.489576369985525,-0.4898063307003275,-0.4875749383406443,-0.4898063307003275,-0.4898063307003275,-0.4898063307003275,-0.4891443197666827,-0.4892277011388817,-0.4815710150221458,-0.4830505117934741,-0.1151714331318508,3.2124188718634303,1.544791427885897,1.5610496341642297,1.124400665546157,6
pme2982,257.1,153.0,6.78,256.074,[M+H]+,C09827,Dihydrochrysin (Pinocembrin),Flavonoids,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.5150606276775781,-0.201226710774847,2.045984692382472,1.5436757091700282,2.122046472449124,2.2154292519368948,6
pme3461,301.1,151.0,5.74,302.27876,[M-H]-,C09756,Homoeriodictyol,Flavonoids,-0.4676627125411125,-0.4759952400762371,-0.4771316486603581,-0.4715494817176544,-0.4690921190457875,-0.4750262849434936,-0.4771316486603581,-0.454019483647555,-0.4657466995667609,-0.4738864092882762,-0.4756967070070906,-0.4759277842543782,-0.4759241347058556,-0.4713907871827311,-0.4697302426049597,-0.4709279636042599,1.3719718412461512,1.5599230427264583,3.166332650746322,1.4486118127879368,6
pmf0058,271.0,150.894,5.51,232.1212,[M+H]+,C00509,Naringenin,Flavonoids,-0.4911609198626671,-0.4914693952859167,-0.4914693952859167,-0.4909919297384395,-0.4914693952859167,-0.491254414915885,-0.4914693952859167,-0.4893993099534059,-0.4914693952859167,-0.4914693952859167,-0.4914693952859167,-0.4907586289981667,-0.4908800851887956,-0.4827177631595747,-0.484608052553296,-0.0985579486990821,3.2046426698205326,1.49493562187854,1.5968772686893913,1.1541592596822654,6
