,Gene,Metabolite,Direction
31,Solyc00g005050.3,pme0330,+
32,Solyc00g007220.3,pme0330,+
35,Solyc00g215560.2,pme0330,+
36,Solyc01g005140.3,pme0330,+
39,Solyc01g006010.3,pme0330,+
40,Solyc01g006230.3,pme0330,+
42,Solyc01g007760.3,pme0330,+
44,Solyc01g008320.3,pme0330,+
45,Solyc01g008493.1,pme0330,+
47,Solyc01g009180.3,pme0330,+
48,Solyc01g009390.3,pme0330,+
49,Solyc01g010870.3,pme0330,+
52,Solyc01g014245.1,pme0330,+
53,Solyc01g014250.2,pme0330,+
54,Solyc01g021670.3,pme0330,+
56,Solyc01g058230.1,pme0330,+
57,Solyc01g058240.1,pme0330,+
59,Solyc01g065720.3,pme0330,+
61,Solyc01g068500.3,pme0330,+
62,Solyc01g079840.3,pme0330,+
63,Solyc01g079860.3,pme0330,+
64,Solyc01g080690.3,pme0330,+
65,Solyc01g081060.3,pme0330,+
66,Solyc01g081070.3,pme0330,+
67,Solyc01g086970.3,pme0330,+
71,Solyc01g087260.3,pme0330,+
72,Solyc01g087720.3,pme0330,+
74,Solyc01g087950.3,pme0330,+
75,Solyc01g090550.3,pme0330,+
76,Solyc01g090590.3,pme0330,+
77,Solyc01g091705.1,pme0330,+
78,Solyc01g091715.1,pme0330,+
80,Solyc01g094930.3,pme0330,+
82,Solyc01g095305.1,pme0330,+
83,Solyc01g095320.3,pme0330,+
84,Solyc01g095330.2,pme0330,+
87,Solyc01g095900.3,pme0330,+
88,Solyc01g095930.3,pme0330,+
89,Solyc01g096010.3,pme0330,+
90,Solyc01g096270.3,pme0330,+
92,Solyc01g096620.3,pme0330,+
93,Solyc01g097540.3,pme0330,+
94,Solyc01g098725.1,pme0330,+
96,Solyc01g099100.3,pme0330,+
97,Solyc01g099150.4,pme0330,+
98,Solyc01g099160.3,pme0330,+
99,Solyc01g099415.1,pme0330,+
100,Solyc01g099420.2,pme0330,+
101,Solyc01g099430.3,pme0330,+
102,Solyc01g099440.3,pme0330,+
103,Solyc01g099600.3,pme0330,+
104,Solyc01g099690.3,pme0330,+
105,Solyc01g099800.3,pme0330,+
106,Solyc01g099810.3,pme0330,+
108,Solyc01g100630.2,pme0330,+
109,Solyc01g100640.3,pme0330,+
112,Solyc01g103440.3,pme0330,+
113,Solyc01g103990.3,pme0330,+
114,Solyc01g104060.3,pme0330,+
115,Solyc01g104130.3,pme0330,+
116,Solyc01g104350.3,pme0330,+
117,Solyc01g104413.1,pme0330,+
118,Solyc01g104446.1,pme0330,+
119,Solyc01g104660.3,pme0330,+
120,Solyc01g105340.3,pme0330,+
122,Solyc01g107010.3,pme0330,+
123,Solyc01g107360.3,pme0330,+
124,Solyc01g107830.3,pme0330,+
125,Solyc01g108010.3,pme0330,+
126,Solyc01g108040.1,pme0330,+
127,Solyc01g108730.2,pme0330,+
128,Solyc01g109300.3,pme0330,+
129,Solyc01g109520.3,pme0330,+
130,Solyc01g109780.3,pme0330,+
131,Solyc01g110510.3,pme0330,+
132,Solyc01g111040.3,pme0330,+
136,Solyc01g112130.3,pme0330,+
137,Solyc02g021680.3,pme0330,+
140,Solyc02g030450.3,pme0330,+
142,Solyc02g031940.2,pme0330,+
143,Solyc02g031975.1,pme0330,+
144,Solyc02g031980.3,pme0330,+
145,Solyc02g061960.3,pme0330,+
146,Solyc02g062390.3,pme0330,+
147,Solyc02g062460.3,pme0330,+
148,Solyc02g062463.1,pme0330,+
149,Solyc02g062710.1,pme0330,+
150,Solyc02g063490.3,pme0330,+
153,Solyc02g067130.1,pme0330,+
154,Solyc02g067620.2,pme0330,+
155,Solyc02g068100.3,pme0330,+
156,Solyc02g068480.3,pme0330,+
157,Solyc02g068590.3,pme0330,+
158,Solyc02g069120.3,pme0330,+
160,Solyc02g070240.3,pme0330,+
161,Solyc02g070390.3,pme0330,+
162,Solyc02g070487.1,pme0330,+
163,Solyc02g070520.3,pme0330,+
165,Solyc02g071320.3,pme0330,+
166,Solyc02g071770.3,pme0330,+
167,Solyc02g077240.3,pme0330,+
172,Solyc02g077900.3,pme0330,+
173,Solyc02g077920.3,pme0330,+
174,Solyc02g077930.2,pme0330,+
175,Solyc02g077940.1,pme0330,+
179,Solyc02g078840.3,pme0330,+
180,Solyc02g078940.3,pme0330,+
182,Solyc02g080060.1,pme0330,+
183,Solyc02g080270.3,pme0330,+
186,Solyc02g080970.3,pme0330,+
187,Solyc02g082720.3,pme0330,+
188,Solyc02g082770.3,pme0330,+
190,Solyc02g084420.3,pme0330,+
192,Solyc02g085350.3,pme0330,+
194,Solyc02g086670.3,pme0330,+
197,Solyc02g087315.1,pme0330,+
198,Solyc02g087425.1,pme0330,+
199,Solyc02g088040.1,pme0330,+
200,Solyc02g088940.3,pme0330,+
201,Solyc02g088950.2,pme0330,+
202,Solyc02g088980.2,pme0330,+
203,Solyc02g088983.1,pme0330,+
204,Solyc02g089495.1,pme0330,+
205,Solyc02g089510.3,pme0330,+
206,Solyc02g089515.1,pme0330,+
208,Solyc02g090840.3,pme0330,+
209,Solyc02g091330.3,pme0330,+
213,Solyc02g092145.1,pme0330,+
214,Solyc02g092620.3,pme0330,+
215,Solyc02g092630.2,pme0330,+
216,Solyc02g092860.3,pme0330,+
217,Solyc02g093010.3,pme0330,+
220,Solyc02g093820.3,pme0330,+
221,Solyc02g094120.3,pme0330,+
224,Solyc02g094510.3,pme0330,+
225,Solyc03g005080.3,pme0330,+
226,Solyc03g006140.3,pme0330,+
227,Solyc03g006960.3,pme0330,+
228,Solyc03g007230.3,pme0330,+
229,Solyc03g007430.3,pme0330,+
