Index,Q1 (Da),Q3 (Da),Rt (min),Molecular Weight (Da),Ionization model,KEGG ID,Compound name,Class,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15,Cluster
pmf0352,279.1705,86.0964,3.21,278.1705,[M+H]+,-,4beta-Hydroxy-11-O-(2'-pyrolylcarboxy)epilupinine,Alkaloids,-0.10861726712511244,-1.4745214494727,2.555913898698762,-0.6910961731424246,-0.9814503998501425,1.2988925513665683,0.7119875138445654,1.1749608692352256,-1.4824884861811434,1.0961757284517288,-0.03602871044818318,-1.0044662836745346,0.02859280952030291,0.6084160366348003,-0.32815338975777736,0.2560959688614113,-0.5326406652744933,-0.5627383595063906,-0.7990937818568805,0.2702595896764217,8
pmf0414,414.3,396.2,4.25,413.3,[M+H]+,-,Tomatidenol,Alkaloids,0.8029567943657238,0.6732872899733476,1.057356012506957,0.1904227545693568,0.5349731519548134,1.462418845275522,0.4151832288494754,-0.25786324633000046,0.3904842756318801,1.9823318105059062,0.9005176595752259,0.20153728351727498,-0.5221420457582716,-0.5307866793844299,-0.7691315779342262,-0.7308482004469531,-1.2433514797120584,-1.5103471639942652,-1.500714572239403,-1.5462841409258665,3
pmf0460,563.0,490.0,3.96,562.0,[M+H]+,-,Tomatidine-O-rhamnoside,Alkaloids,-0.5652219137737984,-0.5891112920241349,-0.5791056758088966,-0.4781808089928644,-0.528906956316631,-0.5927722616780825,-0.5721095007498693,0.030166545074361686,-0.3342240361596676,-0.5802380943882957,-0.583107922294992,-0.34740973194719105,-0.2884619154853217,1.3639384554405534,3.5403538895458886,1.3980661386553201,0.4409397503139146,-0.3551660235869107,0.0055015376600531865,-0.3849501834834342,0
pmf0467,595.0,255.1,3.7,594.0,[M+H]+,-,Tomatidine derivative,Alkaloids,2.8025502385345322,0.10642428547552762,-0.5213501398690936,0.8751726168624496,2.395047541381006,-0.14725532149121703,-0.6182697002731754,0.059065863914442164,1.146841081631467,-0.28822922753351793,-0.6734477681850448,-0.3888199834074514,-0.5191474225871826,-0.41011291713259057,-0.3869843856725256,-0.6204724175550864,-0.6692993173041125,-0.7304981457865384,-0.7137942063987138,-0.6974206746031757,4
pmf0487,872.3,416.3,4.33,871.3,[M+H]+,-,β2-Tomatidine,Alkaloids,0.03349487151078782,-0.7086936482966015,0.3467562597411801,1.0985835914941204,-0.3568770122840081,-1.2532865232202062,0.2214517044490229,0.3756726955778316,-0.39061285409343444,-1.4026881083762386,0.7660445793726275,1.4263031976428378,1.647995872390499,1.4455808215339383,1.0021954720386148,0.24072932834012414,-0.9255669170714881,-1.8026988041165852,-0.8147205796976574,-0.9496639469353648,1
pmf0496,1034.6,416.2,4.34,1033.6,[M+H]+,-,Filotomatine,Alkaloids,-0.016286413908672956,-0.7202323162865473,0.008241317881496792,1.2321751342109717,-0.2689220513474222,-0.9552079868363744,0.596906880845573,1.4357553080693817,-0.19779162915592985,-1.0959971673119493,0.6729428493950993,1.6515993478228759,1.4234914421742964,0.7170927666174051,0.435023851030452,0.35408233612289153,-0.8234940671231623,-1.4612150936675783,-1.4381590257848185,-1.550005482747993,1
pmf0500,1092.658,1032.5,3.96,1091.658,[M+H]+,-,Lycoperoside B,Alkaloids,-0.5624216298161515,-0.8835841962533908,-0.9190721747048771,-0.5181526204696288,-0.747441831893194,-0.8421047409204845,-0.9081807855560615,0.8038534120703661,-0.520578319611904,-0.8512617551825734,-0.9158169470984224,-0.4975341777602894,-0.3616950257928771,-0.08941029707248356,0.25140043241718485,0.7456366326557609,2.0718876386947374,1.4315030651340794,2.093112506189646,1.2198608149705665,6
pmf0504,1094.64,1034.6,4.54,1093.64,[M+H]+,-,(Lycoperoside H) FA or (Hydroxy-α-Tomatine) FA I,Alkaloids,0.27387303593770224,-0.6865041888809549,-0.7667766828228758,2.4433998992328614,0.04888506492931548,-0.6228647342242969,-0.7543380621399836,3.018726282240023,0.38797407837766995,-0.6247932025472259,-0.7204130902257904,0.3783317367630248,-0.15794316270482314,-0.12146297026274891,0.10513205768141208,0.22566132786447649,-0.42535743681764865,-0.6662070597821268,-0.6325070758389421,-0.7028158167790629,9
pmf0493,1032.7,414.1,4.26,1031.7,[M+H]+,-,Dehydrofilotomatine,Alkaloids,1.065995993735691,0.3781265675186083,0.6568322833134607,1.505995230160756,0.21208911981103643,0.22750688281245368,0.7789884055554598,1.842814052653259,0.6117649760785483,-0.33820642116263,0.8679370382559447,0.502654653299287,-0.18877271822581543,-0.6240280275735213,-0.8612243814414808,-0.8493645637480829,-1.1031646623867997,-1.5869266261005033,-1.5781503610073888,-1.5208674415482766,3
pmf0232,86.08915,69.071,1.48,85.08915,[M+H]+,C01746,Piperidine,Alkaloids,-0.604746916200965,-0.8126619801426415,2.07732808353186,1.138924409888186,-0.7510792390597754,-0.8817812757294583,1.517218390825792,2.581720058115334,-0.7258596403306017,-0.8962385573265311,0.5964097860629373,-0.21179037786267663,-0.19331555553781682,-0.17132171943679322,-0.34697915709696847,-0.601521153572815,-0.5862720938761051,-0.42234470213647596,-0.38304904830264713,-0.3226393118118356,8
pmf0243,118.0,58.0,0.8,117.0,[M+H]+,C00719,Betaine,Alkaloids,-0.6417207844978313,0.28639835811723185,-0.18888313738977056,1.997741798536543,-0.5847860220152217,-0.45127812970092823,-0.07006276351302004,3.0638245974862777,-0.8960293902534878,-0.4148068760526479,-0.6135009457021031,0.9498121122624231,0.9861183376136523,-0.12122153559884308,-0.03705710410281137,-0.3060532282960108,-0.8194562604218042,-0.7621914413450925,-0.6334693696452792,-0.7433782154812736,9
pmf0415,416.3,398.3,4.34,415.3,[M+H]+,C10826,Tomatidine,Alkaloids,0.715188248325198,0.3225647460708433,1.4268183461612158,0.42072062163443197,0.8583322335220983,0.5515951223858837,0.927859312046307,-0.04960961544109695,0.3634630275556717,0.42072062163443197,-0.19684342878647995,0.7888051549978895,0.306205433476912,0.4166307934859492,0.26939698014056623,-0.4626822584378661,-0.8757549014346352,-2.0949326724973765,-1.7824698019532854,-2.3260079628866577,3
pmf0421,430.3,412.1,4.01,429.3,[M+H]+,-,Hydroxytomatidenol,Alkaloids,0.056071004280786395,-1.0031936485255122,-0.9530312165578273,2.832355295468413,1.45167627968962,-0.8896319287792281,-0.8957268181281615,1.2961944085433594,0.9528904370524165,-0.9556806276421596,-0.3282801811927694,-0.7698486952481491,-0.8753275966337721,-0.014828728961908365,0.29240344842310234,0.9193063528848242,-0.4016676243738044,-0.5223215563833025,-0.03473040846862976,-0.1566281954472979,9
pmf0422,432.10001,273.2,3.69,431.10001,[M+H]+,-,Hydroxytomatidine,Alkaloids,2.400958611639245,0.20957718309108728,-0.5533700797682218,1.2983767607974048,2.6943241398096633,-0.1757357958548916,-0.6029862630561047,0.19382601379334674,0.8573440204606686,-0.35904002855734757,-0.6281881339324897,-0.4598475120628872,-0.541162923562473,-0.49351563643680774,-0.4647697524684311,-0.6049551592183223,-0.682017755007518,-0.7022973854783591,-0.6891648480763678,-0.697355456111193,4
pmf0463,576.3,255.1,4.54,575.3,[M+H]+,-,Tomatidenol-O-hexoside,Alkaloids,1.000597658139088,-0.8235846812802919,-1.1499224813679154,1.4675824537574336,0.853515832747483,-0.5505640428971253,-1.1048786723417363,1.3241776740006188,1.1458409607132978,-0.6081098070815908,-1.1210576731348127,0.90683299445194,0.4950038833554462,0.8608699240170634,1.1403253922611125,0.4233014934770388,-0.843624579989898,-1.1543717065860113,-1.0653504317677425,-1.196584190473402,9
pmf0464,578.3,255.1,4.35,577.3,[M+H]+,C10827,δ-Tomatine,Alkaloids,0.4782681679506087,-0.24870671708316652,0.6217500531546433,0.34435174176017636,0.19226094344389977,-0.4897562842259445,0.6504464301954502,0.12147654674324258,0.11478072543372111,-0.541409762899397,0.6600118892090524,1.100023003834758,1.2339394300251905,1.2722012660796,1.0139338727123375,0.22956623359694875,-0.9355066742598117,-1.892530848570722,-1.6835255691235116,-2.24157444797707,1
pmf0465,579.0,255.1,4.33,578.0,[M+H]+,-,Coumaroyl tomatidine,Alkaloids,0.45484088007187506,-0.36717812923966603,0.735731797826572,0.2152574502222801,0.15742696715513627,-0.46796839972811644,0.6696398171784081,0.12438097683105433,0.35570290909962854,-0.43740085867834066,0.5291943583010597,1.008361218000249,1.2727291405929058,1.314036628498008,1.115760686553516,0.025243005858808176,-0.9603536555569391,-1.9079474280999917,-1.5791398243753754,-2.258317540511072,1
pmf0475,653.0,273.1,3.65,652.0,[M+H]+,-,Acetyl hydroxy tomatidine-O-hexoside,Alkaloids,-0.5458407842886632,-0.5676163770933965,-0.5692002495403791,-0.5552274097903175,-0.5692002495403791,-0.5675198919560814,-0.5658395343717839,-0.5331047461630707,-0.5473983300767498,-0.5679058325053419,-0.5671201678157761,-0.5407959899661883,-0.48337354967266183,-0.3519745762405478,-0.29435916567239123,-0.11448330253496451,1.874626721170939,2.0800022277416415,2.086894023264148,1.8994371850519634,6
pmf0480,710.3,416.3,4.18,709.3,[M+H]+,-,Tomatidine-O-hexosyl-O-pentoside,Alkaloids,-0.4195210182234253,-0.8492467445148901,0.29986915481486365,-1.1488279387915172,-0.47609078076456973,-0.836978603240907,-0.30808540165141185,-1.3250802350944082,-0.8952522742923269,0.14924364250651503,-0.5459510296858625,-1.0443442689414275,-0.5568560441516254,0.9337231206373257,1.8265711800216538,0.7633322696097822,2.412715707556404,0.1499252059106254,0.9984716440277923,0.8723824142674099,0
