,Gene,Metabolite,Direction
0,Solyc00g110870.3,pmb1318,-
1,Solyc01g005950.3,pmb1318,-
2,Solyc01g008470.3,pmb1318,-
3,Solyc01g010310.3,pmb1318,-
4,Solyc01g028800.2,pmb1318,-
5,Solyc01g059880.3,pmb1318,-
6,Solyc01g068130.3,pmb1318,-
7,Solyc01g087600.3,pmb1318,-
8,Solyc01g091330.3,pmb1318,-
9,Solyc01g091370.3,pmb1318,-
10,Solyc01g093970.4,pmb1318,-
11,Solyc01g095070.3,pmb1318,-
12,Solyc01g097120.3,pmb1318,-
13,Solyc01g097990.3,pmb1318,-
14,Solyc01g098600.3,pmb1318,-
15,Solyc01g099310.3,pmb1318,-
16,Solyc01g100290.3,pmb1318,-
17,Solyc01g101040.3,pmb1318,-
18,Solyc01g102265.1,pmb1318,-
19,Solyc01g103310.3,pmb1318,-
20,Solyc01g104685.1,pmb1318,-
21,Solyc01g106055.1,pmb1318,-
22,Solyc01g109310.3,pmb1318,+
23,Solyc01g110290.3,pmb1318,-
24,Solyc01g111210.3,pmb1318,-
25,Solyc01g111275.1,pmb1318,-
26,Solyc01g111765.1,pmb1318,-
27,Solyc01g112140.3,pmb1318,-
28,Solyc02g023950.3,pmb1318,-
29,Solyc02g062670.3,pmb1318,-
30,Solyc02g065770.3,pmb1318,-
31,Solyc02g069170.2,pmb1318,-
32,Solyc02g070260.3,pmb1318,-
33,Solyc02g071120.3,pmb1318,-
34,Solyc02g071240.3,pmb1318,-
35,Solyc02g072180.3,pmb1318,-
36,Solyc02g078780.3,pmb1318,-
37,Solyc02g080550.1,pmb1318,-
38,Solyc02g082420.3,pmb1318,-
39,Solyc02g082490.3,pmb1318,-
40,Solyc02g082830.2,pmb1318,-
41,Solyc02g084740.3,pmb1318,-
42,Solyc02g084770.3,pmb1318,-
43,Solyc02g085050.3,pmb1318,-
44,Solyc02g086940.3,pmb1318,-
45,Solyc02g088220.3,pmb1318,-
46,Solyc02g089550.3,pmb1318,-
47,Solyc02g089690.3,pmb1318,-
48,Solyc02g089980.3,pmb1318,-
49,Solyc02g090510.3,pmb1318,-
50,Solyc02g090620.3,pmb1318,-
51,Solyc02g092940.3,pmb1318,-
52,Solyc02g093310.3,pmb1318,-
53,Solyc02g093980.3,pmb1318,-
54,Solyc02g094570.3,pmb1318,-
55,Solyc03g005227.1,pmb1318,-
56,Solyc03g006240.3,pmb1318,-
57,Solyc03g007270.3,pmb1318,-
58,Solyc03g025200.3,pmb1318,-
59,Solyc03g025460.3,pmb1318,-
60,Solyc03g043910.3,pmb1318,-
61,Solyc03g063680.2,pmb1318,-
62,Solyc03g082580.3,pmb1318,-
63,Solyc03g083520.3,pmb1318,-
64,Solyc03g083560.1,pmb1318,-
65,Solyc03g093610.1,pmb1318,-
66,Solyc03g111380.3,pmb1318,-
67,Solyc03g112880.1,pmb1318,-
68,Solyc03g112960.1,pmb1318,-
