,Gene,Metabolite,Direction
0,Solyc01g057440.3,pmc1990,-
1,Solyc01g066700.3,pmc1990,-
2,Solyc01g066710.3,pmc1990,-
3,Solyc01g080590.3,pmc1990,-
4,Solyc01g104444.1,pmc1990,-
5,Solyc01g106190.3,pmc1990,-
6,Solyc01g110643.1,pmc1990,-
7,Solyc01g110684.1,pmc1990,-
8,Solyc01g110686.1,pmc1990,-
9,Solyc02g036300.3,pmc1990,-
10,Solyc02g076940.2,pmc1990,-
11,Solyc02g087320.2,pmc1990,-
12,Solyc02g090040.2,pmc1990,-
13,Solyc02g090043.1,pmc1990,-
14,Solyc03g033815.1,pmc1990,-
15,Solyc03g044430.3,pmc1990,-
16,Solyc03g046570.3,pmc1990,-
17,Solyc03g051950.3,pmc1990,-
18,Solyc05g042122.1,pmc1990,-
19,Solyc06g063100.3,pmc1990,-
20,Solyc06g071980.3,pmc1990,-
21,Solyc06g083220.3,pmc1990,-
22,Solyc07g041780.3,pmc1990,-
23,Solyc07g049270.3,pmc1990,-
24,Solyc07g063290.3,pmc1990,-
25,Solyc08g067420.3,pmc1990,-
26,Solyc08g080120.3,pmc1990,-
27,Solyc09g005850.3,pmc1990,-
28,Solyc10g078450.2,pmc1990,-
29,Solyc12g038455.1,pmc1990,-
30,Solyc12g056030.2,pmc1990,-
33,Solyc00g072100.3,pme0330,-
34,Solyc00g127870.3,pme0330,-
37,Solyc01g005570.3,pme0330,-
38,Solyc01g005980.3,pme0330,-
41,Solyc01g006260.3,pme0330,-
43,Solyc01g008020.3,pme0330,-
46,Solyc01g008550.4,pme0330,-
50,Solyc01g010920.2,pme0330,-
51,Solyc01g011095.1,pme0330,-
55,Solyc01g056795.1,pme0330,-
58,Solyc01g065710.3,pme0330,-
60,Solyc01g066590.3,pme0330,-
68,Solyc01g087060.3,pme0330,-
69,Solyc01g087080.3,pme0330,-
70,Solyc01g087250.3,pme0330,-
73,Solyc01g087870.3,pme0330,-
79,Solyc01g094500.3,pme0330,-
81,Solyc01g095300.3,pme0330,-
85,Solyc01g095590.3,pme0330,-
86,Solyc01g095620.3,pme0330,-
91,Solyc01g096370.3,pme0330,-
95,Solyc01g098760.3,pme0330,-
107,Solyc01g100020.3,pme0330,-
110,Solyc01g100900.3,pme0330,-
111,Solyc01g101260.2,pme0330,-
121,Solyc01g106350.3,pme0330,-
133,Solyc01g111170.3,pme0330,-
134,Solyc01g111600.3,pme0330,-
135,Solyc01g111930.3,pme0330,-
138,Solyc02g022930.3,pme0330,-
139,Solyc02g023950.3,pme0330,-
141,Solyc02g031790.2,pme0330,-
151,Solyc02g065570.1,pme0330,-
152,Solyc02g067105.1,pme0330,-
159,Solyc02g070030.3,pme0330,-
164,Solyc02g071260.3,pme0330,-
168,Solyc02g077310.3,pme0330,-
169,Solyc02g077315.1,pme0330,-
170,Solyc02g077460.2,pme0330,-
171,Solyc02g077850.3,pme0330,-
176,Solyc02g077950.2,pme0330,-
177,Solyc02g078600.3,pme0330,-
178,Solyc02g078720.3,pme0330,-
181,Solyc02g079970.3,pme0330,-
184,Solyc02g080480.3,pme0330,-
185,Solyc02g080620.3,pme0330,-
189,Solyc02g083310.3,pme0330,-
191,Solyc02g085245.1,pme0330,-
193,Solyc02g086370.3,pme0330,-
195,Solyc02g087000.3,pme0330,-
196,Solyc02g087050.2,pme0330,-
207,Solyc02g090450.3,pme0330,-
210,Solyc02g091350.3,pme0330,-
211,Solyc02g091860.3,pme0330,-
212,Solyc02g091950.3,pme0330,-
218,Solyc02g093100.3,pme0330,-
219,Solyc02g093440.3,pme0330,-
222,Solyc02g094320.3,pme0330,-
223,Solyc02g094445.1,pme0330,-
230,Solyc03g007920.3,pme0330,-
231,Solyc03g007940.3,pme0330,-
234,Solyc03g026150.3,pme0330,-
235,Solyc03g026300.3,pme0330,-
237,Solyc03g031680.3,pme0330,-
240,Solyc03g043960.3,pme0330,-
244,Solyc03g058950.3,pme0330,-
245,Solyc03g059350.3,pme0330,-
249,Solyc03g063680.2,pme0330,-
256,Solyc03g096840.3,pme0330,-
260,Solyc03g097640.3,pme0330,-
268,Solyc03g111770.3,pme0330,-
272,Solyc03g112990.1,pme0330,-
273,Solyc03g113060.3,pme0330,-
276,Solyc03g113790.3,pme0330,-
277,Solyc03g114020.3,pme0330,-
278,Solyc03g114100.1,pme0330,-
280,Solyc03g114970.3,pme0330,-
281,Solyc03g115320.2,pme0330,-
282,Solyc03g115330.2,pme0330,-
288,Solyc03g117300.3,pme0330,-
290,Solyc03g117547.1,pme0330,-
291,Solyc03g117760.3,pme0330,-
295,Solyc03g120170.1,pme0330,-
296,Solyc03g120450.3,pme0330,-
298,Solyc03g121070.3,pme0330,-
300,Solyc03g121560.3,pme0330,-
301,Solyc03g121800.3,pme0330,-
304,Solyc03g123830.3,pme0330,-
305,Solyc04g005570.3,pme0330,-
307,Solyc04g007340.3,pme0330,-
309,Solyc04g007950.3,pme0330,-
310,Solyc04g008385.1,pme0330,-
311,Solyc04g008880.3,pme0330,-
312,Solyc04g009550.3,pme0330,-
314,Solyc04g010140.1,pme0330,-
320,Solyc04g045600.3,pme0330,-
322,Solyc04g056330.1,pme0330,-
323,Solyc04g056640.1,pme0330,-
326,Solyc04g058150.3,pme0330,-
329,Solyc04g071560.3,pme0330,-
330,Solyc04g071970.3,pme0330,-
332,Solyc04g072450.3,pme0330,-
333,Solyc04g072810.3,pme0330,-
338,Solyc04g076340.3,pme0330,-
344,Solyc04g078700.3,pme0330,-
345,Solyc04g079040.3,pme0330,-
346,Solyc04g079315.1,pme0330,-
348,Solyc04g080190.3,pme0330,-
350,Solyc04g081160.3,pme0330,-
351,Solyc04g081370.2,pme0330,-
360,Solyc05g008060.3,pme0330,-
363,Solyc05g009260.1,pme0330,-
364,Solyc05g009330.3,pme0330,-
366,Solyc05g011820.2,pme0330,-
369,Solyc05g012160.3,pme0330,-
370,Solyc05g012580.1,pme0330,-
373,Solyc05g013190.3,pme0330,-
374,Solyc05g013250.2,pme0330,-
379,Solyc05g017840.3,pme0330,-
380,Solyc05g017940.3,pme0330,-
383,Solyc05g023763.1,pme0330,-
385,Solyc05g025905.1,pme0330,-
387,Solyc05g041390.1,pme0330,-
389,Solyc05g050920.3,pme0330,-
390,Solyc05g051560.3,pme0330,-
391,Solyc05g051690.3,pme0330,-
392,Solyc05g051780.3,pme0330,-
394,Solyc05g052940.3,pme0330,-
395,Solyc05g052990.3,pme0330,-
396,Solyc05g053870.3,pme0330,-
397,Solyc05g053930.3,pme0330,-
399,Solyc05g054120.1,pme0330,-
400,Solyc05g054150.3,pme0330,-
402,Solyc05g055170.3,pme0330,-
403,Solyc05g056055.1,pme0330,-
405,Solyc06g005160.3,pme0330,-
406,Solyc06g005250.3,pme0330,-
409,Solyc06g005790.3,pme0330,-
410,Solyc06g008010.3,pme0330,-
412,Solyc06g008120.1,pme0330,-
419,Solyc06g011450.2,pme0330,-
420,Solyc06g016790.2,pme0330,-
421,Solyc06g018100.3,pme0330,-
424,Solyc06g036310.3,pme0330,-
429,Solyc06g051130.1,pme0330,-
436,Solyc06g054120.2,pme0330,-
438,Solyc06g059805.1,pme0330,-
441,Solyc06g062940.3,pme0330,-
444,Solyc06g063170.3,pme0330,-
445,Solyc06g064550.3,pme0330,-
448,Solyc06g068080.3,pme0330,-
456,Solyc06g071550.3,pme0330,-
458,Solyc06g072160.3,pme0330,-
461,Solyc06g073210.3,pme0330,-
463,Solyc06g075180.1,pme0330,-
472,Solyc06g082810.3,pme0330,-
474,Solyc06g084621.1,pme0330,-
475,Solyc07g005120.3,pme0330,-
481,Solyc07g006110.3,pme0330,-
482,Solyc07g006330.2,pme0330,-
483,Solyc07g006580.3,pme0330,-
484,Solyc07g006960.3,pme0330,-
486,Solyc07g007670.3,pme0330,-
487,Solyc07g016170.3,pme0330,-
488,Solyc07g017250.3,pme0330,-
489,Solyc07g017520.3,pme0330,-
490,Solyc07g017580.1,pme0330,-
493,Solyc07g019530.3,pme0330,-
494,Solyc07g025370.3,pme0330,-
499,Solyc07g039505.1,pme0330,-
500,Solyc07g039510.3,pme0330,-
501,Solyc07g041180.3,pme0330,-
503,Solyc07g041490.2,pme0330,-
508,Solyc07g049165.1,pme0330,-
511,Solyc07g052400.3,pme0330,-
513,Solyc07g053430.3,pme0330,-
514,Solyc07g053710.3,pme0330,-
516,Solyc07g053970.3,pme0330,-
517,Solyc07g054140.3,pme0330,-
519,Solyc07g054500.3,pme0330,-
520,Solyc07g054850.3,pme0330,-
522,Solyc07g056330.3,pme0330,-
523,Solyc07g061970.3,pme0330,-
527,Solyc07g062950.3,pme0330,-
530,Solyc07g063460.2,pme0330,-
531,Solyc07g064040.3,pme0330,-
534,Solyc07g064320.2,pme0330,-
537,Solyc07g065690.3,pme0330,-
541,Solyc07g066190.2,pme0330,-
544,Solyc08g005405.1,pme0330,-
