Cluster,Index,Q1 (Da),Q3 (Da),Rt (min),Molecular Weight (Da),Ionization model,KEGG ID,Compound name,Class,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15
3.0,pmf0352,279.1705,86.0964,3.21,278.1705,[M+H]+,-,4beta-Hydroxy-11-O-(2'-pyrolylcarboxy)epilupinine,Alkaloids,0.6688741721854302,0.5993377483443708,0.7019867549668874,0.5794701986754967,0.6158940397350994,0.7251655629139073,0.6390728476821192,0.6026490066225165,0.5596026490066225,0.6887417218543046,0.5993377483443709,0.5728476821192053,0.6158940397350994,0.599337748344371,0.5198675496688742,0.5496688741721855,0.42384105960264895,0.3841059602649007,0.3443708609271523,0.40066225165562913
3.0,pmf0460,563.0,490.0,3.96,562.0,[M+H]+,-,Tomatidine-O-rhamnoside,Alkaloids,0.3576158940397351,0.20860927152317882,0.19205298013245034,0.4304635761589404,0.45695364238410596,0.17549668874172186,0.2052980132450331,0.5894039735099338,0.609271523178808,0.2119205298013245,0.1490066225165563,0.5397350993377483,0.5562913907284768,0.7913907284768207,0.8774834437086093,0.7682119205298014,0.6059602649006622,0.34437086092715213,0.43377483443708614,0.304635761589404
1.0,pmf0467,595.0,255.1,3.7,594.0,[M+H]+,-,Tomatidine derivative,Alkaloids,0.9337748344370861,0.9304635761589404,0.7251655629139073,0.9205298013245033,0.9370860927152318,0.8874172185430463,0.652317880794702,0.8543046357615894,0.9337748344370861,0.8509933774834437,0.5860927152317881,0.8112582781456954,0.7119205298013245,0.7549668874172185,0.7334437086092715,0.5960264900662252,0.45364238410596025,0.2980132450331126,0.31125827814569534,0.3443708609271522
1.0,pmf0500,1092.658,1032.5,3.96,1091.658,[M+H]+,-,Lycoperoside B,Alkaloids,0.7516556291390728,0.49337748344370863,0.2582781456953642,0.7384105960264901,0.6655629139072847,0.5827814569536424,0.304635761589404,0.8973509933774835,0.7483443708609272,0.5331125827814569,0.26490066225165565,0.7582781456953639,0.7649006622516556,0.8112582781456967,0.8278145695364238,0.8741721854304636,0.8708609271523179,0.8112582781456955,0.8311258278145696,0.7913907284768211
1.0,pmf0422,432.10001,273.2,3.69,431.10001,[M+H]+,-,Hydroxytomatidine,Alkaloids,0.9602649006622517,0.9602649006622517,0.7649006622516556,0.9867549668874173,0.9834437086092715,0.9437086092715232,0.7152317880794702,0.9304635761589404,0.9569536423841061,0.8874172185430463,0.6622516556291387,0.8410596026490066,0.7483443708609272,0.7682119205298014,0.7615894039735099,0.6490066225165563,0.347682119205298,0.18874172185430463,0.271523178807947,0.2251655629139073
2.0,pmf0475,653.0,273.1,3.65,652.0,[M+H]+,-,Acetyl hydroxy tomatidine-O-hexoside,Alkaloids,0.31788079470198677,0.08940397350993377,0.0,0.18874172185430463,0.0,0.08940397350993377,0.10264900662251655,0.23841059602649006,0.30132450331125826,0.0695364238410596,0.07947019867549669,0.30132450331125826,0.40397350993377484,0.4602649006622517,0.47019867549668876,0.5463576158940397,0.7417218543046362,0.7185430463576159,0.7086092715231789,0.6788079470198676
0.0,pmf0480,710.3,416.3,4.18,709.3,[M+H]+,-,Tomatidine-O-hexosyl-O-pentoside,Alkaloids,0.39403973509933776,0.3079470198675497,0.33112582781456873,0.19536423841059603,0.40728476821191995,0.2880794701986756,0.2947019867549669,0.08609271523178806,0.31456953642384106,0.37748344370860926,0.24172185430463577,0.23509933774834438,0.27483443708609273,0.3509933774834437,0.3708609271523179,0.3079470198675497,0.32450331125827814,0.18211920529801323,0.23178807947019867,0.2185430463576159
2.0,pmf0485,814.09998,574.4,3.64,813.09998,[M+H]+,-,Acetyl hydroxy tomatidine-di-O-hexoside,Alkaloids,0.36092715231788003,0.0728476821192053,0.09271523178807976,0.13245033112582782,0.17549668874172186,0.10927152317880795,0.0,0.27483443708609273,0.3509933774834437,0.059602649006622516,0.0,0.3973509933774834,0.49337748344370863,0.8079470198675497,0.8410596026490066,0.8708609271523179,0.8377483443708609,0.7682119205298014,0.804635761589404,0.7947019867549624
1.0,pmf0497,1050.5,432.0,3.69,1049.5,[M+H]+,-,Neorickiioside A,Alkaloids,0.9635761589403974,0.9470198675496688,0.6390728476821192,0.9735099337748344,0.9569536423841082,0.890728476821192,0.6589403973509934,0.956953642384106,0.9536423841059603,0.8410596026490066,0.695364238410596,0.7516556291390728,0.6655629139072847,0.6324503311258278,0.6622516556291378,0.6754966887417219,0.6887417218543046,0.5033112582781457,0.5231788079470199,0.5066225165562914
2.0,pmf0498,1050.5,432.1,4.12,1049.5,[M+H]+,-,Lycoperoside H,Alkaloids,0.4105960264900662,0.271523178807947,0.15562913907284767,0.47019867549668876,0.20860927152317882,0.24172185430463577,0.08609271523178808,0.49337748344370863,0.44370860927152317,0.2814569536423841,0.09933774834437084,0.271523178807947,0.2251655629139073,0.28807947019867564,0.3311258278145695,0.38741721854304634,0.5033112582781457,0.4966887417218543,0.5198675496688742,0.5562913907284768
