,Gene1,Gene2,Direction
0,Solyc01g065720.3,Solyc01g068500.3,+
1,Solyc01g065720.3,Solyc03g007430.3,+
2,Solyc01g065720.3,Solyc03g097310.3,+
3,Solyc01g065720.3,Solyc06g011450.2,-
4,Solyc01g065720.3,Solyc09g005100.3,+
5,Solyc01g065720.3,Solyc09g066150.1,+
6,Solyc01g068500.3,Solyc01g099415.1,+
7,Solyc01g068500.3,Solyc06g011450.2,-
8,Solyc01g068500.3,Solyc09g066150.1,+
9,Solyc01g068500.3,Solyc10g006960.2,+
10,Solyc01g099415.1,Solyc06g011450.2,-
11,Solyc01g103440.3,Solyc06g011450.2,-
12,Solyc02g094510.3,Solyc04g076020.3,+
13,Solyc02g094510.3,Solyc08g021920.3,+
14,Solyc02g094510.3,Solyc09g089660.3,+
15,Solyc03g007430.3,Solyc03g118340.3,+
16,Solyc03g007430.3,Solyc06g011450.2,-
17,Solyc03g082730.1,Solyc04g076020.3,+
18,Solyc03g082730.1,Solyc08g021920.3,+
19,Solyc03g097310.3,Solyc06g011450.2,-
20,Solyc03g097310.3,Solyc09g092430.3,-
21,Solyc03g097310.3,Solyc10g086220.2,-
22,Solyc03g118340.3,Solyc06g011450.2,-
23,Solyc03g118340.3,Solyc11g008380.2,+
24,Solyc04g011530.3,Solyc06g011450.2,-
25,Solyc04g071150.3,Solyc06g011450.2,-
26,Solyc04g071150.3,Solyc09g092430.3,-
27,Solyc04g071150.3,Solyc10g086220.2,-
28,Solyc04g076020.3,Solyc08g021920.3,+
29,Solyc04g076020.3,Solyc09g089660.3,+
30,Solyc04g076020.3,Solyc10g007880.3,+
31,Solyc04g077640.3,Solyc06g011450.2,-
32,Solyc05g012020.3,Solyc06g011450.2,-
33,Solyc05g012020.3,Solyc09g066150.1,+
34,Solyc05g012020.3,Solyc09g092430.3,-
35,Solyc05g012020.3,Solyc10g006960.2,+
36,Solyc06g011450.2,Solyc09g005100.3,-
37,Solyc06g011450.2,Solyc09g066150.1,-
38,Solyc06g011450.2,Solyc10g006960.2,-
39,Solyc06g011450.2,Solyc10g007880.3,-
40,Solyc06g011450.2,Solyc11g008380.2,-
41,Solyc08g021920.3,Solyc09g089660.3,+
42,Solyc09g066150.1,Solyc09g092430.3,-
43,Solyc09g066150.1,Solyc10g006960.2,+
