,Cluster,Chromosome,Start,End,Strand,Description,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15
Solyc00g005000.3,3.0,SL3.0ch00,16879,17940,+,Eukaryotic aspartyl protease family protein (AHRD V3.3 *** AT3G20015.1)                      ,2.113494173474304,-0.41956691629245696,-0.4205513477208723,-0.4199187413905341,2.4152727539564265,-0.4205513477208723,-0.41994935038294257,-0.420133770284783,2.591738980399752,-0.41917396878031904,-0.4178549531979817,-0.4205513477208723,-0.4205513477208723,-0.4187925964575099,-0.41797044410101525,-0.415501567493126,-0.41745269332588597,-0.41847043171649523,-0.4176562166386511,-0.4158588668852912
Solyc00g005050.3,6.0,SL3.0ch00,575209,575385,-,UPF0664 stress-induced protein C29B12.11c (AHRD V3.3 *** A0A151ST26_CAJCA)                      ,-0.4871888119248056,-0.8007854408536005,-1.1126655727304324,-0.7518729581896362,-0.4464075576423296,-0.5785509884461348,-0.8593399576224928,-1.041893699736977,-0.46891297622855527,-0.5396269337304765,-0.41417826560563387,-0.5236289456507207,-0.35546192396758675,0.020491811783636505,0.24286364773281008,1.564099888852677,1.6454319148772125,0.9851821078959528,1.949916045022464,1.9725286161646274
Solyc00g005094.1,6.0,SL3.0ch00,1146879,1146952,-,"Glucose-6-phosphate 1-dehydrogenase ""3,"" chloroplastic (AHRD V3.3 --* G6PD3_ARATH)               ",-0.6520044770219257,-0.5773738331263043,-0.6294952831188281,-0.6575488068503051,-0.6444042317019353,-0.40366352712769726,-0.6214796225296743,-0.5755223630229703,-0.5707995047213571,0.1939473505374373,0.7048469294132728,-0.6490379215049722,-0.5844140104705811,-0.1409694706829073,-0.10144891647665058,-0.31399569121186705,-0.24769173073620934,2.719494489024731,2.5358339135770698,1.215726707751675
Solyc00g005840.3,8.0,SL3.0ch00,3430603,3431254,-,"Thioredoxin, putative (AHRD V3.3 *** B9RK57_RICCO)                 ",-0.9378241765859937,0.40334504440008795,2.0519060687128197,0.2538029247394253,-0.8670117381488304,0.17987295116271143,2.64030094873987,-0.22523823928783282,-0.8946104280992893,0.4761561602178427,1.656108969950943,-0.18697314290276007,-0.32016855983310755,-0.3577742596753754,-0.20192955907879595,-0.5839228018451714,-0.8572915145163368,-0.8291528188752645,-0.8704462016879448,-0.5291496273869946
Solyc00g006480.1,5.0,SL3.0ch00,4234833,4235168,+,Glycosyltransferase (AHRD V3.3 *** A0A061FMN2_THECC)                  ,-0.0011913187333524964,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,0.929226354068926,-0.3013200676149567,-0.3013200676149567,4.1944061141186895,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567
Solyc00g006867.1,3.0,SL3.0ch00,6393070,6393522,+,DNA repair (Rad51) family protein (AHRD V3.3 --* AT2G28560.6)              ,-0.2516465768394893,-0.451111735915671,-0.2825969177268003,-0.451111735915671,2.3577866846230155,-0.30348489816410146,-0.010905408550680026,-0.4227315165351396,3.3809670169144033,-0.2614741455459879,0.6247412814739799,-0.451111735915671,-0.451111735915671,-0.451111735915671,-0.31953816049249084,-0.451111735915671,-0.451111735915671,-0.451111735915671,-0.451111735915671,-0.451111735915671
Solyc00g007100.3,5.0,SL3.0ch02,32683412,32684824,+,Kinase family protein (AHRD V3.3 *** B9H679_POPTR)                ,0.3562396005528507,-0.18018907226169828,-1.0856307597526016,-0.3776589395388258,-0.08010493383565856,0.8155297791708972,-0.8055485026776442,3.6115650079404475,0.9296633442124105,0.2671580580961567,-0.6959347538085563,-0.5880425587862388,-0.6759752226232092,-0.3868175925101366,-0.36509252050494767,-0.7139197069625067,-0.8736793143296536,-0.019287957672009044,0.44149026671888064,0.4262357785720364
Solyc00g007220.3,6.0,SL3.0ch02,32543823,32544561,-,RING/U-box superfamily protein (AHRD V3.3 *** AT1G20823.1)                ,-0.6029963259303991,-0.5982841854329262,-0.6276738895890099,-0.47916143249095094,-0.6045726754591464,-0.6415679039927932,-0.6307156326000067,-0.3700399427462393,-0.5519688578567231,-0.6480349734035348,-0.6275568677092078,-0.5404282576215059,-0.4899851453283608,-0.31538943612126136,-0.4608535758514443,1.6235058008818266,1.8370865650277177,2.451152757910442,1.7585428326576769,0.5189411456558454
Solyc00g007330.2,8.0,SL3.0ch02,32387639,32388359,+,LOW QUALITY:Zinc finger transcription factor 1                 ,-0.22941573387056177,-0.22941573387056177,4.358898943540674,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177
Solyc00g009040.3,9.0,SL3.0ch00,7818111,7818329,+,Polyadenylate-binding protein (AHRD V3.3 *** M1CCI5_SOLTU)                 ,-0.45457430850162656,-0.3773125298655672,-0.27652358214257733,4.038083464006344,-0.4593292879509717,-0.46004153071346887,-0.44470838959417824,0.6796123131892745,-0.46317938282472726,-0.4649565868128775,-0.4511903468160961,0.5681078106745634,0.31054176169304876,0.45873517485803356,-0.07073298929463628,-0.4336046338338367,-0.4376003848785857,-0.35182961028117427,-0.4680573363749631,-0.44143962453597774
Solyc00g009100.3,8.0,SL3.0ch00,7853049,7854022,-,30S ribosomal protein S1 (AHRD V3.3 *** A0A072VPA0_MEDTR)               ,-0.9270549401271037,0.9230158639405074,2.6675526236102085,0.31495820477709974,-0.9609986506904374,-0.1673499633723929,1.9431608828828804,-0.5586772185254076,-0.8670842051082024,0.5462653639524754,1.5164021485555388,-0.8351997591385573,-0.3466537229901795,-0.631045733453535,-0.8947245755269547,-0.48776295566079486,-0.3482517463166689,-0.47125232638604225,-0.1943406016983591,-0.22095868872407137
Solyc00g009140.3,6.0,SL3.0ch00,7891193,7891413,+,NAD(P)-binding Rossmann-fold superfamily protein (AHRD V3.3 *** AT4G09750.1)               ,-0.9745627907299724,-0.5179927228647081,-0.3101417123101944,-0.2648737459647547,-0.995589034633262,-0.5677449808715046,-0.20980166754927077,0.025028712640862583,-1.005073944563841,-0.3460109767099245,-0.4291517917134267,-0.4046267240091237,-0.25826048698868725,-0.3037787021964449,-0.3158054956939409,1.004795640984135,3.5579975298366846,0.8530447506181661,0.8966764706682022,0.5658716720510032
Solyc00g009146.1,5.0,SL3.0ch00,8214562,8215570,-,Protein phosphatase 2C family protein (AHRD V3.3 --* AT2G46920.4)              ,-0.2598631736074081,0.3582631243924074,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,4.319274000540939,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081
