,Cluster,Chromosome,Start,End,Strand,Description,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15
Solyc00g005000.3,9,SL3.0ch00,16879,17940,+,Eukaryotic aspartyl protease family protein (AHRD V3.3 *** AT3G20015.1)                      ,2.113494173,-0.419566916,-0.420551348,-0.419918741,2.415272754,-0.420551348,-0.41994935,-0.42013377,2.59173898,-0.419173969,-0.417854953,-0.420551348,-0.420551348,-0.418792596,-0.417970444,-0.415501567,-0.417452693,-0.418470432,-0.417656217,-0.415858867
Solyc00g005080.2,1,SL3.0ch00,791488,791775,-,LOW QUALITY:Protein Ycf2 (AHRD V3.3 *-* YCF2_SOLLC)                      ,1.187139871,-1.054116896,0.004376457,0.481673342,1.432403648,-0.849097062,-0.245608238,-0.445114471,2.671570255,-0.529865691,0.245738758,-1.054116896,-0.844987203,-0.86355689,-1.054116896,-0.155841838,-0.445646683,-0.650901649,0.919713268,1.250354813
Solyc00g006800.3,8,SL3.0ch00,5780177,5780686,+,transaldolase                      ,1.80475732,0.00674135,-1.778187182,-0.213693288,2.282054335,0.101535488,-1.787586756,-0.557038208,1.031271726,-0.672906356,-1.458930448,0.158329649,0.923739391,0.043717006,-0.304363551,-0.171143218,-0.030803582,0.186142861,0.347687785,0.088675677
Solyc00g007270.3,8,SL3.0ch02,32491249,32491723,+,Eukaryotic translation initiation factor 6 (AHRD V3.3 *** M1C4H3_SOLTU)              ,0.01256291,0.10406832,-1.825789347,-0.056988865,0.504679799,-0.188337738,-2.162878377,-0.340911477,-0.495367189,-0.849205026,-0.822012092,0.19180077,0.714804717,-0.14153784,0.214145025,1.224615518,-0.698617008,1.188602079,1.857127237,1.569238583
Solyc00g009141.1,8,SL3.0ch00,7896698,7897016,-,Microsomal signal peptidase 25 kDa subunit (AHRD V3.3 *-* G7KBX4_MEDTR)             ,1.118713043,-0.165709469,-2.012685932,1.923841964,-0.074014102,-0.294004875,-1.723190261,-0.767662063,-0.146690227,-1.048977026,-1.320823617,0.801336977,0.290520117,-0.290738402,-0.307437532,1.032871495,0.685667655,0.518398393,1.169009419,0.611574442
Solyc00g011880.3,6,SL3.0ch00,9387008,9387367,+,Protein AIG2-like protein (AHRD V3.3 *** A0A0B0P003_GOSAR)                ,0.040175011,0.595777537,1.221596128,1.298726485,-0.230636121,0.6916402,1.391330363,0.113710123,-1.221714097,0.00223267,0.365060463,-1.072794423,1.231940671,0.69033179,-0.367817078,0.617185597,-0.378333783,-1.2612531,-1.770797975,-1.956360461
Solyc00g063110.3,9,SL3.0ch00,13301447,13302234,-,Non-specific lipid-transfer protein (AHRD V3.3 *** A0A1D1ZJR4_9ARAE)                ,2.543708677,-0.423950547,-0.425619706,-0.425619706,2.248827378,-0.41294317,-0.425619706,-0.425619706,2.339400156,-0.336366613,-0.425619706,-0.425619706,-0.425619706,-0.425619706,-0.425619706,-0.425619706,-0.425619706,-0.425619706,-0.425619706,-0.425619706
Solyc00g072100.3,6,SL3.0ch00,13690276,13690746,-,Retrovirus-related Pol polyprotein from transposon TNT 1-94 (AHRD V3.3 *-* A0A151S5P0_CAJCA)            ,0.404375611,2.184113301,0.187985876,1.08931748,1.293139219,0.695905879,-0.293712355,-0.032601362,-0.907322521,0.110090166,-0.38591939,-0.202159425,1.263541109,0.410870885,0.481926543,-0.557892452,-1.341398508,-1.375825481,-1.496374339,-1.528060236
Solyc00g127660.3,1,SL3.0ch00,15734297,15734660,+,"cytochrome ""P450,"" family ""71,"" subfamily ""B,"" polypeptide 20 (AHRD V3.3 --* AT3G26180.1)           ",1.081162868,0.511319567,-1.727284887,-0.478024949,0.799108063,-0.543591163,-1.592897297,-0.499493379,0.782436083,0.137413739,-0.488859912,-0.631120884,-0.975201407,-0.7886601,-0.282118989,-0.074299655,-0.269932748,1.396740156,1.979220305,1.664084591
Solyc00g127870.3,6,SL3.0ch00,15742795,15743126,+,Phosphatidylinositol N-acetylglucosaminyltransferase subunit P (AHRD V3.3 *** A0A0B2SS56_GLYSO)               ,1.859708529,1.41639876,0.040149467,1.206405995,0.174554617,1.234493988,-0.336089696,1.488088141,0.438719661,0.400708037,-0.240987541,-0.457361754,-0.527956427,-1.011876347,0.274448847,-1.026136108,-1.310991749,-1.213221398,-1.367130686,-1.041924336
Solyc01g005010.3,6,SL3.0ch01,25452,26037,+,XRI1-like protein (AHRD V3.3 *** AT2G01990.2)                 ,0.601411329,0.378925145,1.850924562,0.393702421,0.355251135,0.377525015,1.816607875,-0.661603112,-0.107582335,-0.022109288,2.094080015,-0.981757959,0.198207921,-0.163096667,-0.61404571,-0.994227056,-1.154907271,-1.095838389,-1.123060326,-1.148407303
