,Gene,Metabolite,Direction
0,Solyc09g092430.3,pme0500,+
1,Solyc08g075017.1,pmf0458,+
2,Solyc05g007990.3,pmf0458,+
3,Solyc06g011450.2,pmb3066,+
4,Solyc10g086220.2,pmb3066,+
5,Solyc09g005100.3,pmf0506,+
6,Solyc02g094510.3,pmf0506,+
7,Solyc08g075017.1,pmf0506,+
8,Solyc01g065720.3,pmf0506,+
9,Solyc05g012020.3,pmf0506,+
10,Solyc03g097310.3,pmf0506,+
11,Solyc04g011530.3,pmf0506,+
12,Solyc09g066150.1,pmf0506,+
13,Solyc09g089660.3,pmf0506,+
14,Solyc03g118340.3,pmf0506,+
15,Solyc01g103440.3,pmf0506,+
16,Solyc02g064808.1,pmf0506,+
17,Solyc11g008380.2,pmf0506,+
18,Solyc10g007880.3,pmf0506,+
19,Solyc01g005140.3,pmf0506,+
20,Solyc10g079050.2,pmf0506,+
21,Solyc10g006960.2,pmf0506,+
22,Solyc04g076020.3,pmf0506,+
23,Solyc12g019860.2,pmf0506,+
24,Solyc03g082730.1,pmf0506,+
25,Solyc04g071150.3,pmf0506,+
26,Solyc03g007430.3,pmf0506,+
27,Solyc08g021920.3,pmf0506,+
28,Solyc01g099415.1,pmf0506,+
29,Solyc04g077640.3,pmf0506,+
30,Solyc01g068500.3,pmf0506,+
