,Cluster,Chromosome,Start,End,Strand,Description,R30,R45,R85,S30,S45,S85,L30,L45,L85,F30,F45,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15
Solyc00g005000.3,5.0,SL3.0ch00,16879,17940,+,Eukaryotic aspartyl protease family protein (AHRD V3.3 *** AT3G20015.1)                      ,2.1134941734743045,2.415272753956427,2.591738980399753,-0.41956691629245707,-0.42055134772087244,-0.4191739687803191,-0.42055134772087244,-0.4199493503829426,-0.4178549531979818,-0.4199187413905342,-0.42013377028478305,-0.42055134772087244,-0.42055134772087244,-0.41879259645751,-0.41797044410101536,-0.41550156749312606,-0.417452693325886,-0.4184704317164953,-0.4176562166386512,-0.4158588668852913
Solyc00g005050.3,0.0,SL3.0ch00,575209,575385,-,UPF0664 stress-induced protein C29B12.11c (AHRD V3.3 *** A0A151ST26_CAJCA)                      ,-0.4871888119248056,-0.4464075576423296,-0.46891297622855527,-0.8007854408536005,-0.5785509884461348,-0.5396269337304765,-1.1126655727304324,-0.8593399576224928,-0.41417826560563387,-0.7518729581896362,-1.041893699736977,-0.5236289456507207,-0.35546192396758675,0.020491811783636505,0.24286364773281008,1.564099888852677,1.6454319148772125,0.9851821078959528,1.949916045022464,1.9725286161646274
Solyc00g005094.1,0.0,SL3.0ch00,1146879,1146952,-,"Glucose-6-phosphate 1-dehydrogenase ""3,"" chloroplastic (AHRD V3.3 --* G6PD3_ARATH)               ",-0.6520044770219257,-0.6444042317019353,-0.5707995047213571,-0.5773738331263043,-0.40366352712769726,0.1939473505374373,-0.6294952831188281,-0.6214796225296743,0.7048469294132728,-0.6575488068503051,-0.5755223630229703,-0.6490379215049722,-0.5844140104705811,-0.1409694706829073,-0.10144891647665058,-0.31399569121186705,-0.24769173073620934,2.719494489024731,2.5358339135770698,1.215726707751675
Solyc00g005840.3,4.0,SL3.0ch00,3430603,3431254,-,"Thioredoxin, putative (AHRD V3.3 *** B9RK57_RICCO)                 ",-0.9378241765859937,-0.8670117381488304,-0.8946104280992893,0.40334504440008795,0.17987295116271143,0.4761561602178427,2.0519060687128197,2.64030094873987,1.656108969950943,0.2538029247394253,-0.22523823928783282,-0.18697314290276007,-0.32016855983310755,-0.3577742596753754,-0.20192955907879595,-0.5839228018451714,-0.8572915145163368,-0.8291528188752645,-0.8704462016879448,-0.5291496273869946
Solyc00g006480.1,1.0,SL3.0ch00,4234833,4235168,+,Glycosyltransferase (AHRD V3.3 *** A0A061FMN2_THECC)                  ,-0.0011913187333524964,0.929226354068926,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,4.1944061141186895,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567,-0.3013200676149567
Solyc00g006867.1,5.0,SL3.0ch00,6393070,6393522,+,DNA repair (Rad51) family protein (AHRD V3.3 --* AT2G28560.6)              ,-0.25164657683948927,2.3577866846230155,3.3809670169144037,-0.451111735915671,-0.3034848981641014,-0.26147414554598786,-0.28259691772680035,-0.010905408550679965,0.62474128147398,-0.451111735915671,-0.4227315165351396,-0.451111735915671,-0.451111735915671,-0.451111735915671,-0.3195381604924908,-0.451111735915671,-0.451111735915671,-0.451111735915671,-0.451111735915671,-0.451111735915671
Solyc00g007220.3,0.0,SL3.0ch02,32543823,32544561,-,RING/U-box superfamily protein (AHRD V3.3 *** AT1G20823.1)                ,-0.6029963259303991,-0.6045726754591464,-0.5519688578567231,-0.5982841854329262,-0.6415679039927932,-0.6480349734035348,-0.6276738895890099,-0.6307156326000067,-0.6275568677092078,-0.47916143249095094,-0.3700399427462393,-0.5404282576215059,-0.4899851453283608,-0.31538943612126136,-0.4608535758514443,1.6235058008818266,1.8370865650277177,2.451152757910442,1.7585428326576769,0.5189411456558454
Solyc00g007330.2,4.0,SL3.0ch02,32387639,32388359,+,LOW QUALITY:Zinc finger transcription factor 1                 ,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,4.358898943540674,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177,-0.22941573387056177
Solyc00g009070.1,5.0,SL3.0ch00,7828931,7829317,-,"LOW QUALITY:Transmembrane ""protein,"" putative (AHRD V3.3 *** G7ZYN0_MEDTR)               ",2.3868334394691386,1.3638898790060694,2.7720007009468803,-0.5529415356250272,-0.11772786503694796,-0.5529415356250272,-0.5529415356250272,-0.5529415356250272,-0.5529415356250272,0.9587709649357751,-0.09563275152081513,-0.3895048311736261,-0.4291662240150468,-0.4622830725249093,-0.45776488383624453,-0.5529415356250272,-0.5529415356250272,-0.5529415356250272,-0.5529415356250272,-0.5529415356250272
Solyc00g009100.3,4.0,SL3.0ch00,7853049,7854022,-,30S ribosomal protein S1 (AHRD V3.3 *** A0A072VPA0_MEDTR)               ,-0.9270549401271038,-0.9609986506904376,-0.8670842051082025,0.9230158639405075,-0.16734996337239294,0.5462653639524755,2.667552623610209,1.9431608828828806,1.516402148555539,0.3149582047770998,-0.5586772185254077,-0.8351997591385575,-0.34665372299017955,-0.6310457334535351,-0.8947245755269548,-0.4877629556607949,-0.34825174631666894,-0.47125232638604236,-0.19434060169835912,-0.2209586887240714
Solyc00g009140.3,0.0,SL3.0ch00,7891193,7891413,+,NAD(P)-binding Rossmann-fold superfamily protein (AHRD V3.3 *** AT4G09750.1)               ,-0.9745627907299724,-0.995589034633262,-1.005073944563841,-0.5179927228647081,-0.5677449808715046,-0.3460109767099245,-0.3101417123101944,-0.20980166754927077,-0.4291517917134267,-0.2648737459647547,0.025028712640862583,-0.4046267240091237,-0.25826048698868725,-0.3037787021964449,-0.3158054956939409,1.004795640984135,3.5579975298366846,0.8530447506181661,0.8966764706682022,0.5658716720510032
Solyc00g009146.1,1.0,SL3.0ch00,8214562,8215570,-,Protein phosphatase 2C family protein (AHRD V3.3 --* AT2G46920.4)              ,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,0.3582631243924074,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,4.319274000540939,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081,-0.2598631736074081
Solyc00g014830.3,1.0,SL3.0ch00,10125507,10125614,-,NADH dehydrogenase subunit 7 (AHRD V3.3 *** A0A0C5B9X5_9SOLA)               ,0.4397659919504529,2.9393476308152664,-0.3524580706728748,0.1625756756845319,-0.5750260111189803,0.6613740298628726,-0.1606817579031541,-0.7676054314028248,-0.17601102943807118,1.438592436639093,1.9089747605607834,-0.8241412293483781,-0.6245042938736586,-0.7287334809361246,-0.9906300803475858,-0.3394788757302155,-0.2179541210595557,-0.5910991387483776,-0.4116411211899609,-0.7906658837432408
Solyc00g014840.1,1.0,SL3.0ch00,10125787,10126128,+,LOW QUALITY:Basic-leucine zipper (bZIP) transcription factor family protein (AHRD V3.3 --* AT2G31370.7)           ,0.46449437861496745,1.746487713169278,-0.4689492382918168,0.18996130706797498,-0.8006779107044742,0.2085535218011618,-0.42195635260812864,-0.7134151213780262,-0.2811911103395618,2.8309751686121727,1.91049598992245,-0.7580667880336988,-0.5631797212042232,-0.6776980240621397,-0.708376047626293,-0.47500289207721696,0.3411746115596967,-0.6735593952359079,-0.4122367397007943,-0.7378333494854192
Solyc00g015733.1,4.0,SL3.0ch00,10285788,10286072,+,Aldo/keto reductase family protein (AHRD V3.3 *** D7LKP7_ARALL)               ,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,4.358898943540675,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183,-0.22941573387056183
Solyc00g017220.2,2.0,SL3.0ch00,10511454,10512248,-,Phantastica-like MYB protein (AHRD V3.3 *** Q84NB7_ESCCA)                ,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,4.358898943540672,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166,-0.22941573387056166
